"Path","Key","Value"
"Windows Components\ActiveX Installer Service\Approved Installation Sites for ActiveX Controls","HKLM\SOFTWARE\Policies\Microsoft\Windows\AxInstaller","ApprovedList"
"Windows Components\ActiveX Installer Service\Establish ActiveX installation policy for sites in Trusted zones","HKLM\SOFTWARE\Policies\Microsoft\Windows\AxInstaller\AxISURLZonePolicies","InstallTrustedOCX"
"Control Panel\Add or Remove Programs\Specify default category for Add New Programs","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","DefaultCategory"
"Control Panel\Add or Remove Programs\Hide the ""Add a program from CD-ROM or floppy disk"" option","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoAddFromCDorFloppy"
"Control Panel\Add or Remove Programs\Hide the ""Add programs from Microsoft"" option","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoAddFromInternet"
"Control Panel\Add or Remove Programs\Hide the ""Add programs from your network"" option","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoAddFromNetwork"
"Control Panel\Add or Remove Programs\Hide Add New Programs page","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoAddPage"
"Control Panel\Add or Remove Programs\Remove Add or Remove Programs","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoAddRemovePrograms"
"Control Panel\Add or Remove Programs\Hide the Set Program Access and Defaults page","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoChooseProgramsPage"
"Control Panel\Add or Remove Programs\Hide Change or Remove Programs page","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoRemovePage"
"Control Panel\Add or Remove Programs\Go directly to Components Wizard","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoServices"
"Control Panel\Add or Remove Programs\Remove Support Information","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoSupportInfo"
"Control Panel\Add or Remove Programs\Hide Add/Remove Windows Components page","HKCU\Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","NoWindowsSetupPage"
